Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,French,English
5,5,5,7,15,laisse,leash
6,6,6,8,17,ville,city
7,7,7,9,19,parlé,speak
13,13,14,18,35,pourrais,could
19,20,21,27,45,façon,way
22,23,24,30,50,perdu,lost
25,27,29,36,58,matin,morning
27,29,31,38,60,enfant,child
30,32,34,41,70,mis,placed
31,33,35,45,74,aujourd'hui,today
32,34,36,46,75,mari,husband
36,38,40,51,81,parti,left
37,39,41,52,83,boulot,job
38,40,42,53,84,arrêter,Stop
41,43,45,56,91,croire,believe
44,46,48,59,97,bureau,office
